step,time,base_positions,base_velocities,perturbed_positions,perturbed_velocities,position_torus_l1,positions_exactly_equal,complete_states_equal
158,79/10,79/100|81/100|69/100|77/100,3/5|2/5|-2/5|-1/5,77/100|21/100|39/100|69/100,-1/5|2/5|3/5|-2/5,4/5,False,False
159,159/20,41/50|83/100|67/100|19/25,3/5|2/5|-2/5|-1/5,19/25|23/100|21/50|67/100,-1/5|2/5|3/5|-2/5,4/5,False,False
160,8,17/20|17/20|13/20|3/4,2/5|3/5|-2/5|-1/5,3/4|1/4|9/20|13/20,-1/5|2/5|3/5|-2/5,4/5,False,False
161,161/20,87/100|22/25|63/100|37/50,2/5|3/5|-2/5|-1/5,37/50|27/100|12/25|63/100,-1/5|2/5|3/5|-2/5,39/50,False,False
162,81/10,89/100|91/100|61/100|73/100,2/5|3/5|-2/5|-1/5,73/100|29/100|51/100|61/100,-1/5|2/5|3/5|-2/5,19/25,False,False
163,163/20,91/100|47/50|59/100|18/25,2/5|3/5|-2/5|-1/5,18/25|31/100|27/50|59/100,-1/5|2/5|3/5|-2/5,37/50,False,False
164,41/5,93/100|97/100|57/100|71/100,2/5|3/5|-2/5|-1/5,71/100|33/100|57/100|57/100,-1/5|2/5|-2/5|3/5,18/25,False,False
165,33/4,19/20|0|11/20|7/10,2/5|3/5|-2/5|-1/5,7/10|7/20|11/20|3/5,-1/5|2/5|-2/5|3/5,7/10,False,False
166,83/10,97/100|3/100|53/100|69/100,2/5|3/5|-2/5|-1/5,69/100|37/100|53/100|63/100,-1/5|2/5|-2/5|3/5,17/25,False,False
167,167/20,99/100|3/50|51/100|17/25,2/5|3/5|-2/5|-1/5,17/25|39/100|51/100|33/50,-1/5|2/5|-2/5|3/5,33/50,False,False
168,42/5,1/100|9/100|49/100|67/100,2/5|3/5|-2/5|-1/5,69/100|41/100|49/100|67/100,3/5|2/5|-2/5|-1/5,16/25,False,False
169,169/20,3/100|3/25|47/100|33/50,2/5|3/5|-2/5|-1/5,18/25|43/100|47/100|33/50,3/5|2/5|-2/5|-1/5,31/50,False,False
